strategy,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,total_trades,win_rate,final_value,fast,slow
MA Crossover (65/390),2.463550067131167,0.0011954965608800272,1.5654794871638844,0.0007636615942160058,0.0012701776039691617,-0.9375987616181061,994,0.5001545677636525,3.463550067131167,65,390
MA Crossover (65/780),4132.95463052917,0.008040677829012077,1.563969686218402,0.005141198003942149,0.008565523899517079,-0.8124665135776279,581,0.5018719873597918,4133.95463052917,65,780
MA Crossover (65/1170),25669.31566658697,0.00981261643287179,1.5627424263751648,0.006279100296542466,0.010450796261630152,-0.7411218850673443,465,0.5016353651043237,25670.31566658697,65,1170
MA Crossover (65/1950),703927.887439613,0.013033692710964218,1.5602284585239234,0.008353707843077629,0.013891038295414037,-0.7292710048119371,307,0.5011125062494991,703928.887439613,65,1950
MA Crossover (130/390),21.415267516298922,0.0029952870708906953,1.5652564020788555,0.0019136079347208425,0.003187745904927373,-0.8595576272385202,736,0.5007461234023227,22.415267516298922,130,390
MA Crossover (130/780),1267.9282647570587,0.00689630246540851,1.5638467315943865,0.004409832706800834,0.007342623456890696,-0.7823533693703423,438,0.5015056045126154,1268.9282647570587,130,780
MA Crossover (130/1170),13597.202203332194,0.009195711589710998,1.562707207029801,0.005884475062471274,0.009794198128527484,-0.7587155998212413,349,0.500994195121765,13598.202203332194,130,1170
MA Crossover (130/1950),487533.13604057074,0.012675882538080385,1.5602488640945151,0.008124269678886636,0.01350686000719159,-0.7005220656716629,229,0.5009178653619366,487534.13604057074,130,1950
MA Crossover (195/390),54.42103586325703,0.0038688718468113947,1.5651382248457528,0.002471904260847427,0.004121993333691353,-0.8303846357264293,694,0.5007804717942455,55.42103586325703,195,390
MA Crossover (195/780),1734.2332362124293,0.007199423529442361,1.563827485212509,0.004603719782085829,0.007669268459156765,-0.7924276023865275,386,0.5012575327931731,1735.2332362124293,195,780
MA Crossover (195/1170),30488.072142817113,0.009979707417494543,1.5627108638365526,0.006386150917895163,0.010640762912963935,-0.746130196218228,282,0.5015590353444953,30489.072142817113,195,1170
MA Crossover (195/1950),511280.41809360764,0.012722204324686182,1.5601630634191685,0.008154406820018473,0.013557446698165944,-0.7299915516077452,197,0.5008415356021082,511281.41809360764,195,1950
MA Crossover (260/390),595.274583668563,0.0061652159245486615,1.5651012315652277,0.003939180290838406,0.0065770366103908365,-0.8779362989478477,756,0.5013491285049672,596.274583668563,260,390
MA Crossover (260/780),2506.1318958779852,0.007555958180764044,1.5638563832501358,0.004831618978374873,0.008053561717610468,-0.7938244968820962,356,0.501310963625053,2507.1318958779852,260,780
MA Crossover (260/1170),20700.96245484187,0.009603727980012966,1.5626286673449654,0.006145879811824065,0.01023300620374615,-0.7414535229624418,254,0.5012689822571473,20701.96245484187,260,1170
MA Crossover (260/1950),359075.960653399,0.012378070674320618,1.560159928604403,0.007933847323840108,0.013194613525995326,-0.8007712173730979,169,0.5008224531621511,359076.960653399,260,1950
MA Crossover (390/780),26825.898814052987,0.009855417570560743,1.5637281724959302,0.006302513278142268,0.010498357646452268,-0.7248469259760804,310,0.5017803916479977,26826.898814052987,390,780
MA Crossover (390/1170),8636.273745575907,0.008755300779714759,1.5626140062752583,0.005602983682825438,0.00932440220825244,-0.7350946808102001,236,0.5011354051774476,8637.273745575907,390,1170
MA Crossover (390/1950),461022.6022643471,0.012621429634459336,1.5601751587811825,0.008089751694495165,0.013447587438121349,-0.8340396428237525,147,0.5009903786337736,461023.6022643471,390,1950
